id,name,surname,login,password,phoneNumber
144,VUNMz,suaFS,GXzJy,dzgMW,ODuOqjktfG
145,giyVl,zTuXM,UBIVH,dvPjK,xHBoXtRsKZ
146,PZuXx,YCybm,MTqZS,iMvIC,AbhGZoiclk
147,IVsOK,doDBa,awLjw,hXhhI,ROyKCsxfvw
148,dsJqA,CCzzm,ypJFi,zchxT,nBtLhNvtwL
149,EcuAf,rJyaB,Ozhml,wviNh,yURkLGPwPJ
150,iVXdp,FbmcI,MdWOy,nsyJd,UyozPeIWka
151,uHlgM,buHfr,GICXp,JdGws,oyjrAjfgZN
152,xKRIg,ZOoWT,UrPXR,Pfpqh,ofqkGDuKZr
153,GjFoT,woSty,rUmor,HTuMd,rSyveJFeHv
154,HjCRY,AgnrH,uNTqV,yjQBo,YsEdOUrtat
155,ERgeY,AVMEy,BKGRG,TITmd,yPDHnJnuzN
156,mYHIv,QKcDl,LNMWD,UBZpu,kUpqhvMFtd
157,ZlwTr,SqVEF,sZZbW,aNttE,NyetOJhHzv
158,dPsyd,SbOhi,neUCJ,fcgKI,eFftxDzPGe
159,hjSwj,GNdXe,FEfTs,QgcUn,cDxFjNullE
160,PvYhL,FWvPB,QUWlk,FniDz,ZXwGTkGaIe
161,rvCwk,TTRJq,rTNqq,yJDnI,fKxrDWflfW
162,kIKZH,wlReG,ksCOf,KdpxN,DiscDqtthV
163,oCZpV,KUZlV,OmwDK,XXxLF,UhrRzOdPfJ
164,LsDEO,VfIPk,FDYIS,dxViY,wIClJprDiA
165,tYeZC,tkWLf,hbXyh,vNyXJ,hDoQXQuaoO
166,kPTBc,JzosV,xaiid,ViahL,vTdhCeYqia
167,lLSqG,PyCuV,EDZVF,sHuti,FkCOychoAU
168,VuxYF,JrdBG,WIUlf,qGkfY,ThNEdonuBz
169,vkwzb,OoqGW,NugaR,vmxCV,fffVgPfmpr
170,XioyY,gIbxV,zEIKf,wcRjC,JUGJfLZCXj
171,KUZaH,BPmWM,djfSo,njBts,EfDpiBiXyU
172,sPLSh,WhpFO,qzFHH,boAAm,pNhCKkDSin
173,xFkBB,ptktU,rHvEg,iZNmh,KODXcuUSAD
174,JJWXz,VDevU,IfLEn,kEGHP,AXkIWcQbpr
175,gBfqz,bQNvf,PTVLD,Zhifx,WywTnAmoau
176,HgdaG,ffLTa,MgkNv,ADPRM,ulhWtnqYSO
177,dPOBh,Ksxqc,WxxsE,dXkrS,JPaYUQMJlg
178,wXnMP,lDasV,unZYN,LZOOH,PhsIssXORa
179,snCyx,WuNTZ,CJmPU,LfYmj,rSBICbCQqV
180,NcINq,uSXPd,qErcz,ICQcw,FkIjwXbUla
181,NOxjd,wRDqu,LqWml,qdpYg,AaZrCygorG
182,TILTj,iUDMA,JvfFs,vXbSb,vqIPoqdmbS
183,hIHtj,duPhQ,GOnct,dGEMO,mPfCfyIvSe
184,cPcLU,littE,PJzQv,ehWZk,tBXXZPYwVO
185,zowrV,iYOOF,BIICf,NydMW,digoBPxHgu
186,wFJSC,lQfTJ,gcVsI,IYzvK,wVJtFRflBo
187,xKOoh,rXekX,hEYlW,NQPmd,UMlGWXKqgp
188,tqlZM,yEylP,MsFPe,qYMpj,KOzLSZpodE
189,nyQQT,JqGdi,tyqzP,qdGPF,WhtbGDXQlQ
190,feJFZ,YmEin,Easob,DzZqd,wDZPPvdFFS
191,SBenF,KXQut,ypjKG,BmUsz,xdACUGSRnV
192,bKcsJ,wbaGu,JIXge,KUqcl,SAMxlRUjeQ
193,vWDhx,DLDVW,JqFpr,dncrd,ACRmFInMua
194,EsYEj,bvkJi,ZObMa,lKoJP,pCVzbEOchq
195,jWRwI,dGKrX,eTvOV,mwBCs,QmgSBaudHX
196,SRYFl,yhIEw,BNTUO,uhnwU,ABPJXxAJPe
197,vTjYX,FICaU,HLnzi,uUANY,NiRuOTdjeL
198,cnohG,eknXf,HajoI,VfbgA,KjItsDDgkC
199,tuicz,vlpJw,bAUvY,bbTpB,UdXpBWyNBy
id,description
1,BKHtigZaLwrfvYcaKQOj
2,xouPJseYPlLveWKbUdvV
3,PlsXtDeLXRsezQaoyvyZ
4,DLuoYkRPZwVVAjSIhYuU
5,nljNgnJEwQKWVvZPShQy
6,NZlulXkcfLCeIueqLumu
7,RfImrsmBynFbsyGJyaTS
8,rxkDsHrnMHmNFYwcleyT
9,vADDhvYmrJTJKTiqkltR
10,THKUDdiivxeppzJVuQZs
11,YRUTFQyVCkpInmKvQSBv
12,iAVJsmeOqqvlmHZDiCnP
13,MsTuasuFbaFGKCcRgvyE
14,FWFDBkWXxdedhhJeCEYy
15,nXtLziPPftYPChkcTrKU
16,aLfqUDBlOvYaDEBbVrWL
17,TcFMaESdRSDvEgMvTITl
18,MHNxSOamHyZyDIPxZFiz
19,JYEIcjQLDpEWDpOLjPZI
20,ubBJxquWUwfoUpdMgkab
21,MpISRzvsUKeNtBkSUmmv
22,sjFcVusLSUgYwmBgMdLv
23,JPcSAzhbWeVmSbMfibgc
24,LiPSMBbaqzdPIotyehCr
25,PkQpJcTuHZUpfuNYRzTV
26,HGOUeXlhxieHDaLZxYwU
27,JllDsEfbMUIBqFhZcSlH
28,auyreSkEeNUTbcAZZlCy
29,mjpjIseCsstcAItxCCsW
30,zQnWWisuMMSGVAczTVBj
31,ucKijnvGKfPYBURwBMqZ
32,nkCjFMpAEMiUhIxWODxN
33,WDLwUhkFWuhFkOIuHYqj
34,kUkKnuPsDWGWGVFwkBWu
35,GdZUhBIAHkYtUuZaREzo
36,yfSgTzjxbUnIyohaOyMG
37,hKWpOZzYrtmClkrAckYj
38,MuymhofawNgyJnyWDmHb
39,YFcIUGQewyrExcvGnxvo
40,YmzpginBdKnjQKExGGGD
41,MvFKvqdHTknsegHvYZXd
42,GmrAGRFLdQIhzIWdqBbL
43,CchWmnVCoZXxOaESMGVy
44,CYLrZidxzoVJOdaTBZHF
45,KSLTCYtusPgpUCjsPgpF
46,IcYGfxKYAxHPXsDLkhnn
47,hGkZIFGSHNuKAbtitnoN
48,fnGiOVfqsYPozWWtjeqV
49,gOvGDDSwKzbYBtJVSBET
50,XJMeimYuCZbpZFMNGZzZ
51,wLkuSDewqglFVvAtScMY
52,epOJtiHvNmNbSgBBVPNB
53,LKxLVzWJAQNXwAJPcSXF
54,jxxOEvfLUKMwgWZhNqJv
55,ydQdLTdxihOLoPiRWmac
56,suapfOtfHwuIqELtOisa
57,lDnguaVkytEokneqSNVB
58,HFxoAWUXcLCOrelyvyBy
59,IkVZQTCIlNPpBEkQBqjs
60,GOPoUxQhgZrKqVPgdnYa
61,vyTcpiGmvgeRwokvuVma
62,UGKeduvjTzQFpsGfWDCq
63,VxXbrFnGwmoMhRfbzHSb
64,pVeZymScxKYFaKqXIbKg
65,emQGdhCQqfitNBCICFbl
66,rsstBpVZuvVNZaTUcxvV
67,PwkpLrryfRaKVPDdWFEV
68,IvPmzmKfckUvMDcdtDBo
69,PGXpjoOeeLimhwKcrNdp
70,thejoKpWpySSqCzkeYZC
71,bvejyHTbsrzLxhJRPqnf
72,SbYECKPJDWCZdVvkGSSU
73,NFRrJCLorDEHkxzGAIYK
74,OixaVaqmkxuQnyAMxNpY
75,IpFLHePMAtmayLVHjpZD
76,aHIxhFzDEAEfxGdTRMxq
77,puOXLeYVzCbhMtKHHZar
78,ANwSDzZrWiAnEVAirEpJ
79,KDRUuNnkQRsVUBkmAivx
80,GNTMEbLKQFTJPXSWfLGI
81,ggrHpbXRQkxcEWFxUmKr
82,woYHTmsztXvjBpVNqmqZ
83,lHUZRRrPgBxFNJKbXjJL
84,SIXeMZhLxYmRrVSsjtIt
85,XjwXEYjHFqvdGnVBeMHh
86,IjWvNEBOejCjFTGCRqEs
87,OuChVVHeKxvxfNmnGYAS
88,ExVpBDLGOZzcihBxrUEX
89,bytiJHJsGwSdJnGZuqJO
90,LBZxhwCcjmKfJsSLglRl
91,HQIpWGcBuRAyLsdwdTxd
92,mgFFNhZTCtrvasXmFbcT
93,RajhzAnpRKvFAHqRyPvK
94,sGEyQLPtJEyprRYaUMqk
95,kHJKEKLZTxRAdYIbiAEX
96,CEehouoKxcMdNjlzSvSE
97,hibkUteLpiyiDEtqfuYX
98,mABFDmSeKJoHikHabMPK
99,WurWvmxZdfWAHWkknuPa
100,XYbfFlOwpVMbLGiOxAQn
101,LiFuTkXXnhIlKYbCwrjA
102,LecvsYnLHYRAKSAnpRhd
103,EgtanmYySrHjdGWGqMSs
104,TgbdzaXKZQSGGMOXUZZW
105,ubgAeECmdaSYDsJbPoPL
106,OGkZrkzfzrcZiTbywUsE
107,chriqjzGGeXZVKzDXDUH
108,JxYeqyYDgCjljQcaweqW
109,MMPgeWFfZustfFECucVL
110,LbkPrnflVPiPDvEADOKW
111,KPgkvfatvmccNfiMPTpu
112,bZgFwYlYFTZDQOpOSKXn
113,WTdxueRtREVvDbHBxGWz
114,XUWsZqDmNdXkoXWvlNJG
115,cXSCCVeITBGqLWctIPrk
116,PzkjVcGGpePNaljTJqrt
117,ghLDzugVDWQDUHluTBVP
118,xvilYFEooiHrkzaFfHmp
119,aILoiXrPvXlaqxCMYatw
120,icsKMEdIasVXtdXuywkN
121,uwCoTrQOUPpzJQOAztnE
122,aAxYLCaUjcAyMqDqsbVT
123,MKffbaFqZZzATJEsdKLd
124,WmKduApUjbtGoLxpjuFs
125,QILxaXGbJUQUMYAPIQus
126,SAZOSsFAbLDQWDoaOSJg
127,gvdpZNwIzNXuCejcNmot
128,KItvZrzfFppKhydCUPSl
129,GVCBzRVLzFklUkLZhZvj
130,izffSsTHawkIUQITiQoE
131,dQZYUvXuaYQSQwJOURek
132,KwQdWHzPEWOqeeprthfw
133,jVeWIywNDccfVOTcfSCI
134,CEvMvUSEbkCRFBYVJmIE
135,HPHalRYnLIwtngfxTkKT
136,HywkHVsKkCZsqzYsMgYB
137,FRlSlJErmbxhZeOdtJQf
138,uoepiCMrDeavQBpQvcQo
139,mJqLMajiiyADHhirFYHD
140,DoLEBQQKCIdkPfusOaHz
141,lwdyjYXawgSxBoIzUfmT
142,RvWxAQrhaaeIryqRCGCm
143,kPSGHJssKCJCMDIxRXUP
144,wBcwGfWsLLPuVJwWoakb
145,gEeLwWkMVzYeIKjbQewg
146,znGqOFSHZSZvDOBgevJZ
147,SejikpahlXKTBLicFKnH
148,TWzUEjDOpzCoZYWpUIiX
149,fwoojbEYvamRNEQtgCps
150,DWtIfQBSVuVSHaklPTBh
151,KrmklpkfWuYHcfDfIErX
152,ZPrFmoYltPaCiLSKlIaC
153,BHQwwfBfGiowLCVCodcJ
154,MTTCbYjGACsluskLDMvK
155,WZlEtmodMdVjhUtdzXfi
156,hNHygVJyAqPUgXxbXKaS
157,KcllNDZePMWuwUAwpbmX
158,GYXnDOItVzWJOtlAXhir
159,LVabSzrkaWNJubYRNkuB
160,ZkbvmRRJZWHNzDhrUNNg
161,WgGpMwDjruFSsqWRsrQC
162,nRzdaiQePjmyyOetdbLq
163,RBhfUEzjWFHwcqejddtP
164,dAwmbxJJlmHRSVBTlgjs
165,wKyYlxUjZTTmsulLqAcp
166,tqdtxPdmqjGCfEEXJZWV
167,GJFphVzEMqTZcLbEjuQX
168,AunJDdzqujvBgzHAWIwh
169,FmRcWMXJfiHDTHinIbct
170,PveOlNiDheeaHmXqdcjQ
171,GfMSSGHKPCQFgMwWFqWx
172,hZMKpHxWwNjYtdAESgfh
173,HpNQbHwgdddcdirKnUqv
174,KSJpOjUDMFxtnHAUMVVf
175,pjVRkBqyUVjefsgtufCW
176,caQouUwpzQcslnNJonmT
177,axeOYlaupxQttDPrZDea
178,BUzLvjxXiZJdtjwKJrIX
179,xcpmDWFYAbtkmFankLle
180,SQpdFlqYTjxxxRSPbkRf
181,mikDoZSxhgdNVmPtIaqX
182,bFDplurXfobJHjHWubeo
183,ruovXLyddIZLgEGAoJgL
184,NPAcEUCLOGRHGXxTBWPQ
185,UyyvpItEpWsNYMAFhJGc
186,aKMjeRTIMuzaiTnQpUKT
187,ElrpWKlUmoInWexnwUJD
188,cXgCLHvzQFAHWfCDUmfg
189,iFfzjiRnKJIwSOOntxEE
190,BJQQIQgsfVCRdKWBxSqw
191,lCtmdVoxLgmKXIZepLto
192,niaJipVNkOLvzCrAoxSf
193,afOAnYUmEjJQoDcmAaeF
194,BbOHAXCcStQogpxjgieR
195,zTFaMEjXozxMkOsacCxz
196,UFiBSLDqJQXPZXenuLUj
197,fQZufshttsZJXELwKRxB
198,KJIRKnaPCAgaCpkYfPFP
199,RriJLXzzsDpTEweqqsgS
id,device_state,installation_method,level_threshold,movement_count,name,type,sound_level,water_level
1,ALARM_STATE,TxUIfvUBUG,51,72,JTXCRamPXp,LEAKS_PROTECTION,54,92
2,BATTERY_LOW,nQTlZfaCNE,91,10,CZDzmHeYLy,GLASS_PROTECTION,15,36
3,BATTERY_LOW,ASzUGaoDjI,1,68,UksINTErVA,LEAKS_PROTECTION,84,84
4,ALARM_STATE,MBOfaUJyAf,51,72,bBvFXeAOla,FIRE_PROTECTION,32,57
5,NORMAL,FCsmnGrIdG,19,17,oqhIZfyxqD,MOTION_PROTECTION,34,64
6,ALARM_STATE,BInivCucMG,32,30,PYrpOoOPYX,GLASS_PROTECTION,25,56
7,BATTERY_LOW,VigSyoATfy,52,89,ReqPMyxpcW,GLASS_PROTECTION,73,50
8,BATTERY_LOW,sfwZqNaIdG,23,71,UhcxKuKXpv,LEAKS_PROTECTION,1,55
9,BATTERY_LOW,ZoUNNVMhwq,66,65,QmZRcqzEce,LEAKS_PROTECTION,3,29
10,BATTERY_LOW,gABstRlcHr,64,24,eXoaVinUuz,LEAKS_PROTECTION,94,49
11,NORMAL,UAkkMwoELK,40,2,vPMbVuUkOy,GLASS_PROTECTION,43,9
12,ALARM_STATE,aEIOHozTQc,14,4,FeUkdJhEzq,FIRE_PROTECTION,10,93
13,BATTERY_LOW,WuDddUOHHu,10,74,MmWittGATz,GLASS_PROTECTION,24,43
14,ALARM_STATE,GpVCZemwEk,86,11,MNBRRwUQBG,MOTION_PROTECTION,75,26
15,BATTERY_LOW,kgrFPtiYSu,86,78,gThXnkyHGl,FIRE_PROTECTION,16,9
16,BATTERY_LOW,svZDZSbLgU,75,3,BTYYTPNwoo,LEAKS_PROTECTION,26,50
17,NORMAL,QeVprKWLOj,9,78,HVuUUvbSUO,FIRE_PROTECTION,72,45
18,BATTERY_LOW,tlYFZQJDGX,35,3,BIVUrVUMoZ,GLASS_PROTECTION,61,79
19,ALARM_STATE,NaWbmezhwv,43,55,BjeeFJVhdd,LEAKS_PROTECTION,57,70
20,BATTERY_LOW,lEptgrkQBo,57,14,hezameBRAY,LEAKS_PROTECTION,95,85
21,ALARM_STATE,gNOTVoBkkJ,4,29,lGWvKeJZMD,MOTION_PROTECTION,90,33
22,ALARM_STATE,HJoGSlaFbQ,62,20,yGiarmwRLt,LEAKS_PROTECTION,78,1
23,BATTERY_LOW,VjtbUsTDpz,93,40,vFbAVSqPer,MOTION_PROTECTION,77,2
24,ALARM_STATE,fstQdNENyF,39,88,TnTEAjJpcB,MOTION_PROTECTION,32,83
25,BATTERY_LOW,ZjFKZWMPYm,47,64,MHwlvnCFPK,FIRE_PROTECTION,72,83
26,NORMAL,SGcSbRhxTd,18,89,fNYNJBVMHM,FIRE_PROTECTION,34,8
27,NORMAL,VpyAKsOINr,55,13,PwpafcsWxX,LEAKS_PROTECTION,0,88
28,BATTERY_LOW,CVqXDLKdoI,14,19,hwQGNxIMwo,FIRE_PROTECTION,17,83
29,NORMAL,HSecxujmRE,25,61,LBQKaHTeJv,GLASS_PROTECTION,5,19
30,NORMAL,jVrVDWkuYT,49,30,NdiqwZDVIL,GLASS_PROTECTION,15,10
31,ALARM_STATE,OpnbJTDaIE,11,58,xfkyGnUncA,FIRE_PROTECTION,21,69
32,NORMAL,WnqBjpnhvy,23,14,rISWZAOqPC,GLASS_PROTECTION,27,96
33,ALARM_STATE,NdYnCytipp,35,85,HykJrEcIWt,MOTION_PROTECTION,19,85
34,NORMAL,euROLkTBAC,2,15,xaIgFVRKUn,FIRE_PROTECTION,14,15
35,NORMAL,ArxgxIDgwT,30,65,HYXWugaPzF,LEAKS_PROTECTION,62,51
36,BATTERY_LOW,HkeDvQQqoQ,80,13,IlQuvBuxgC,MOTION_PROTECTION,25,20
37,ALARM_STATE,ADttVmFKSQ,13,97,ubnoNNdieK,GLASS_PROTECTION,15,62
38,NORMAL,xhHnORoprz,78,20,jkdHBZQgXa,MOTION_PROTECTION,40,15
39,NORMAL,hKLnhbGRGW,97,44,auIPitKZed,LEAKS_PROTECTION,47,8
40,NORMAL,VJcWFyypgp,3,60,vCXTcuoqTO,FIRE_PROTECTION,49,34
41,ALARM_STATE,wpiJYINLAD,35,94,rGXVRMFFtP,LEAKS_PROTECTION,29,52
42,ALARM_STATE,CsqdWBLtlT,9,87,iCzrrAvoxC,LEAKS_PROTECTION,47,56
43,ALARM_STATE,SFgNBQFXbM,80,89,SRbrIUhOdP,GLASS_PROTECTION,19,91
44,BATTERY_LOW,eDRwyUXUKP,72,69,PaRUeuspIa,MOTION_PROTECTION,38,79
45,ALARM_STATE,WXHPAiyLGP,44,47,kmolsWncyP,LEAKS_PROTECTION,18,3
46,ALARM_STATE,OALCbDMgOE,44,90,AVNHrtpnzu,LEAKS_PROTECTION,19,4
47,NORMAL,KabWyuXlDA,62,62,mTJjqxzAgg,MOTION_PROTECTION,60,49
48,NORMAL,GkKTrzyIof,62,67,GCIoFXyoMB,MOTION_PROTECTION,80,51
49,BATTERY_LOW,aJiMqUBmmz,80,86,lLmXvvyimZ,MOTION_PROTECTION,18,5
